,company_name,description,letter,location,url
88,N3TWORK,Mobile games creator and publisher,N,"San Francisco, CA",http://n3twork.com/
89,Namely,"HR, payroll, and benefits platform",N,"New York, NY",https://www.namely.com/
90,Narvar,Customer experience platform for retailers,N,"San Francisco, CA",http://www.narvar.com/
91,NerdWallet,Personal finance content site,N,"San Francisco, CA",https://www.nerdwallet.com
92,Netskope,Cloud access security broker ,N,"Los Altos, CA",https://www.netskope.com/
93,Nextdoor,Neighborhood based social network,N,"San Francisco, CA",http://nextdoor.com/
94,OfferUp,A mobile-driven local marketplace,O,"Bellevue, WA",https://offerupnow.com/
95,One Medical  ,Technology platform offering an array of concierge medical services,O,"San Francisco, CA",http://www.onemedical.com/
96,OneSource Virtual,Workday services,O,"Irving, TX",http://www.onesourcevirtual.com/
97,Opendoor,Online home-selling service,O,"San Francisco, CA",https://www.opendoor.com/
98,PagerDuty,Operations performance platform,P,"San Francisco, CA",http://www.pagerduty.com/
99,Panzura,Cloud data storage system,P,"Campbell, CA",http://www.panzura.com/
100,Payoneer,Cross-border payment platform,P,"New York, NY",http://www.payoneer.com/
101,Pendo,Product cloud creator for digital products and data-driven product teams,P,"Raleigh, NC",http://www.pendo.io/
102,Pindrop,Voice security and authentication.,P,"Atlanta, GA",http://pindrop.com/
103,Plaid,Financial services API,P,"San Francisco, CA",https://plaid.com/
104,PlanGrid,Cloud-based app to store blueprints and construction documents,P,"San Francisco, CA",http://www.plangrid.com/
105,Podium,Customer communication platform,P,"Lehi, UT",https://www.podium.com/
106,Pond5,Hub to buy and sell media,P,"New York, NY",https://www.pond5.com/
107,POPSUGAR,"Network of websites with trends in entertainment, fashion, parenting, fitness and shopping.",P,"San Francisco, CA",http://www.popsugar.com/
108,Postmates,Urban delivery service,P,"San Francisco, CA",https://postmates.com/
109,Procore Technologies,Cloud-based construction management software,P,"Carpenteria, CA",http://www.procore.com/
110,"Prodege, LLC",Rewards programs,P,"El Segundo, CA",http://www.prodege.com/
111,Quora,Q&A platform,Q,"Mountain View, CA",http://quora.com/
112,Rent the Runway,Designer dress and accessory rentals,R,"New York, NY",http://www.renttherunway.com/
113,Reputation.com,"Track and improve online reviews, social media, and local search visibility for businesses",R,"Redwood City, CA",http://www.reputation.com/
114,Robinhood,Free stock trading app,R,"Menlo Park, CA",https://www.robinhood.com/
115,Root Insurance,Mobile-first insurance carrier,R,"Columbus, OH",https://joinroot.com/
116,Rover,Network of pet sitters and dog walkers,R,"Seattle, WA",http://www.rover.com/
117,Rubrik,Live data access for recovery and application development,R,"Palo Alto, CA",http://rubrik.com/
118,Salsify,Product experience management,S,"Boston, MA",http://salsify.com/
119,Samsara,Cloud based sensor systems,S,"San Francisco, CA",http://www.samsara.com/
120,Scale,Annotation of training data for AI,S,"San Francisco, CA",https://scale.ai/
121,SeatGeek,Event ticket marketplace,S,"New York, NY",https://seatgeek.com/
122,Segment,Customer data infrastructure,S,"San Francisco, CA",http://segment.com/
123,ServiceChannel ,"Platform to procure, manage and pay for facility maintenance services",S,"Pleasanton, CA",https://servicechannel.info/
124,Shape Security,Advanced Application Cyber-Defense,S,"Mountain View, CA",https://www.shapesecurity.com/
125,Signal Sciences,Security attack prevention,S,"Culver City, CA",https://www.signalsciences.com/
126,SignalFx,Real-time cloud monitoring platform for infrastructure,S,"San Mateo, CA",http://signalfx.com/
127,Silver Peak Systems,Software defined WAN devices,S,"Santa Clara, CA",https://www.silver-peak.com/
128,SimpliSafe ,Wireless home security system,S,"Boston, MA",http://simplisafe.com/
129,Sonatype,Open source components,S,"Fulton, MD",http://sonatype.com/
130,Sonder,A tech-driven hospitality company ,S,"San Francisco, CA",https://www.sonder.com
131,Squarespace,"Website builder, blogging platform and hosting service",S,"New York, NY",http://www.squarespace.com/
132,Strava ,Global community of athletes,S,"San Francisco, CA",http://www.strava.com/
133,Sumo Logic,"Transforms big data into sources of operations, security and compliance intelligence",S,"Redwood City, CA",http://www.sumologic.com/
134,Synack,Scalable continuous testing for enterprise applications and networks,S,"Redwood City, CA",http://www.synack.com/
135,Tanium,Security and systems management,T,"Berkeley, CA",http://www.tanium.com/
136,Tastemade,Online food oriented destination,T,"Santa Monica, CA",http://www.tastemade.com/
137,Tastyworks,Stock trading platform,T,"Chicago, IL",https://tastyworks.com/
138,ThoughtSpot,Relational search engine designed for data analytics,T,"Palo Alto, CA",http://www.thoughtspot.com/
139,thredUp,Fashion resale website,T,"San Francisco, CA",http://www.thredup.com/
140,Thumbtack,Online marketplace for home-related services,T,"San Francisco, CA",https://www.thumbtack.com/
141,TripActions,Corporate travel management,T,"Palo Alto, CA",http://tripactions.com/
142,Turo,Car sharing rental marketplace,T,"San Francisco, CA",https://turo.com/
143,UiPath,Robotic process automation software,U,"New York, NY",http://www.uipath.com/
144,Upgrade,Consumer credit platform,U,"San Francisco, CA",http://www.upgrade.com/
145,Varsity Tutors,Platform that connects students with personalized instruction,V,"San Francisco, CA",http://www.varsitytutors.com/
146,Vox Media,Digital media company,V,"Washington, DC",http://www.voxmedia.com/
147,VSCO,Photography apps and tools,V,"Oakland, CA",http://vsco.co/
148,Warby Parker,Eyeglass retailer,W,"New York, NY",http://www.warbyparker.com/
149,Wealthfront,Automated financial advisor,W,"Redwood City, CA",https://www.wealthfront.com/
150,Wish,Mobile commerce platform,W,"San Francisco, CA",http://wish.com/
151,WordPress,Open-source CMS & blog software,W,"Houston, TX",https://wordpress.com/
152,XebiaLabs,Continuous delivery and DevOps software,X,"Boston, MA",https://xebialabs.com/
153,YapStone,Electronic payments for online marketplaces,Y,"Walnut Creek, CA",http://www.yapstone.com/
154,Zola,Wedding registry service,Z,"New York, NY",http://www.zola.com/
155,Zoom ,Enterprise video communications,Z,"San Jose, CA",https://zoom.us/
